bootstraps,time,original,computed,difference
28702,1.3829387842998985E10,3.8602723662557445,3.859352199486792,2.3836835374525434E-4
28802,1.3877603363175009E10,3.8602723662557445,3.859380286308807,2.3109248837865727E-4
28902,1.3925751987003012E10,3.8602723662557445,3.8594118458279536,2.229170240196298E-4
29002,1.3973912234703999E10,3.8602723662557445,3.8594309009102146,2.1798082251542138E-4
29102,1.4022079079487995E10,3.8602723662557445,3.85944304215512,2.1483564420842367E-4
29202,1.4070245811105993E10,3.8602723662557445,3.859440776097629,2.1542266431373892E-4
29302,1.4118451260644981E10,3.8602723662557445,3.8594379944379447,2.1614325069222495E-4
29402,1.4166624049931002E10,3.8602723662557445,3.8594475653213047,2.1366392217547853E-4
29502,1.4214822197240017E10,3.8602723662557445,3.8594104087849734,2.2328928867969107E-4
29602,1.4263034579106009E10,3.8602723662557445,3.859441658156711,2.1519416772124836E-4
29702,1.4311259856763994E10,3.8602723662557445,3.8594147817417808,2.2215647824756817E-4
29802,1.4359410856787994E10,3.8602723662557445,3.8594201597140416,2.2076331948813266E-4
29902,1.4407614514801E10,3.8602723662557445,3.8594268535286718,2.1902929297522216E-4
30002,1.4455794238623991E10,3.8602723662557445,3.859428976819955,2.184792563244923E-4
30102,1.4503976646506998E10,3.8602723662557445,3.859465002780459,2.091467644467083E-4
30202,1.4552179943303997E10,3.8602723662557445,3.8594682702771435,2.0830032244098447E-4
30302,1.4600361149384007E10,3.8602723662557445,3.8594854652208466,2.0384598811643733E-4
30402,1.4648507015096006E10,3.8602723662557445,3.8595048453924354,1.9882557252134158E-4
30502,1.469674448377401E10,3.8602723662557445,3.859497450734833,2.007411517604865E-4
30602,1.4744920881779982E10,3.8602723662557445,3.8594849665511686,2.0397516803709635E-4
30702,1.4793086978715012E10,3.8602723662557445,3.8595205513358124,1.9475696235946366E-4
30802,1.4841270635656996E10,3.8602723662557445,3.8595251146991982,1.9357482727860132E-4
30902,1.4889414802827986E10,3.8602723662557445,3.859497916208447,2.0062057124965407E-4
31002,1.4937645125993996E10,3.8602723662557445,3.859473466768286,2.069541761980024E-4
31102,1.4985843152646988E10,3.8602723662557445,3.859487704228057,2.032659753614113E-4
31202,1.5033997337400007E10,3.8602723662557445,3.8594582191001217,2.1090407058830656E-4
31302,1.5082186168055014E10,3.8602723662557445,3.8594685789371814,2.082203643425168E-4
31402,1.5130397845665985E10,3.8602723662557445,3.859450233112833,2.1297283323795877E-4
31502,1.5178573073206022E10,3.8602723662557445,3.8594337331016746,2.1724714592700757E-4
31602,1.5226794662190006E10,3.8602723662557445,3.8594259106977167,2.1927353246550477E-4
31702,1.5274955354306993E10,3.8602723662557445,3.85940829587364,2.2383663641399127E-4
31802,1.5323131564929E10,3.8602723662557445,3.859405058774123,2.246752040614922E-4
31902,1.5371360802520004E10,3.8602723662557445,3.8594140896442792,2.2233576546770866E-4
32002,1.5419586330201004E10,3.8602723662557445,3.8593865693816696,2.294648641422544E-4
32102,1.546780876597399E10,3.8602723662557445,3.8594284143849666,2.1862495459005433E-4
32202,1.5515968327796999E10,3.8602723662557445,3.8594466765865154,2.1389414810385756E-4
32302,1.5564078087354E10,3.8602723662557445,3.859456536169175,2.1134003229953492E-4
32402,1.5612204693359003E10,3.8602723662557445,3.859477967636718,2.0578823037742307E-4
32502,1.5660510460196E10,3.8602723662557445,3.8595000371339925,2.0007114744112898E-4
